shot_id,x,y,distance,player,player_num,player_pos,team,vs,season,league,round,venue,won,points,made,assisted,is_open,blocked,kind,quarter,time_rem,time_elapsed,deficit,pts_scored
1,891.667656160318,-967.794316166736,8.16316,Marvin Lee,9,PG,UST,UP,Season 80,UAAP,Round 1,MOA Arena,f,3,1,1,0,0,catch-and-shoot,1,9.76667,0.23333,0,3
2,881.350710417284,-387.714549264711,2.57801,Jun Manzo,13,PG,UP,UST,Season 80,UAAP,Round 1,MOA Arena,t,2,1,1,0,0,lay-up,1,9.51667,0.483330000000001,-3,2
3,906.233790364055,-223.865968376237,1.63022,Jordan Sta. Ana,7,SG,UST,UP,Season 80,UAAP,Round 1,MOA Arena,f,2,1,1,0,0,lay-up,1,9.35,0.65,1,2
4,999.639480944072,-115.555664716372,2.49198,Kyles Lao,4,SG,UP,UST,Season 80,UAAP,Round 1,MOA Arena,t,2,1,1,0,0,lay-up,1,9.06667,0.93333,-3,2
5,608.072479185712,-80.6370523887908,1.68438,Steve Akomo,0,C,UST,UP,Season 80,UAAP,Round 1,MOA Arena,f,2,1,1,0,0,lay-up,1,8.4,1.6,1,2
6,1417.25681967254,-485.064149120453,7.36417,Paul Desiderio,18,PG,UP,UST,Season 80,UAAP,Round 1,MOA Arena,t,3,0,0,0,0,pull-up,1,8.13333,1.86667,-3,0
7,864.510401469501,-140.816589828945,1.11735,Kyles Lao,4,SG,UP,UST,Season 80,UAAP,Round 1,MOA Arena,t,2,0,0,0,1,lay-up,1,8.03333,1.96667,-3,0
8,1350.98730360198,-628.851331444074,7.56451,Marvin Lee,9,PG,UST,UP,Season 80,UAAP,Round 1,MOA Arena,f,3,0,0,0,0,catch-and-shoot,1,7.85,2.15,3,0
11,713.80711391383,-537.450950109624,3.7671,Noah Webb,25,SF,UP,UST,Season 80,UAAP,Round 1,MOA Arena,t,2,0,0,0,0,pull-up,1,7.26667,2.73333,-3,0
12,879.862272075328,-150.927764628022,1.25445,Justin Arana,16,F,UST,UP,Season 80,UAAP,Round 1,MOA Arena,f,2,1,0,0,0,lay-up,1,6.96667,3.03333,3,2
13,1464.86059723015,-165.192187154137,7.09864,Noah Webb,25,SF,UP,UST,Season 80,UAAP,Round 1,MOA Arena,t,3,0,0,0,0,catch-and-shoot,1,6.6,3.4,-5,0
14,343.739964950304,-544.633857233174,5.61052,Noah Webb,25,SF,UP,UST,Season 80,UAAP,Round 1,MOA Arena,t,2,0,0,0,0,catch-and-shoot,1,6.13333,3.86667,-5,0
15,489.782065050556,-477.610837056676,4.11486,Steve Akomo,0,C,UST,UP,Season 80,UAAP,Round 1,MOA Arena,f,2,1,0,0,0,pull-up,1,5.86667,4.13333,5,2
16,841.817067537196,-360.500404461754,2.1574,Marvin Lee,9,PG,UST,UP,Season 80,UAAP,Round 1,MOA Arena,f,2,1,0,0,0,floater,1,5.66667,4.33333,7,2
17,1293.91624536049,-646.938438855518,7.24311,Christopher Vito,15,PF,UP,UST,Season 80,UAAP,Round 1,MOA Arena,t,3,1,1,1,0,catch-and-shoot,1,5.45,4.55,-9,3
18,873.764993250943,-236.379118335046,1.39605,Jordan Sta. Ana,7,SG,UST,UP,Season 80,UAAP,Round 1,MOA Arena,f,2,1,1,0,0,lay-up,1,5.3,4.7,6,2
19,142.512286575947,-612.310030819092,7.59619,Paul Desiderio,18,PG,UP,UST,Season 80,UAAP,Round 1,MOA Arena,t,3,1,1,1,0,catch-and-shoot,1,4.9,5.1,-8,3
20,612.807089985218,-381.779096350483,2.60927,Regie Basibas,5,PF,UST,UP,Season 80,UAAP,Round 1,MOA Arena,f,2,0,0,0,0,floater,1,4.55,5.45,5,0
24,210.594624957646,-647.507786041144,7.28783,Paul Desiderio,18,PG,UP,UST,Season 80,UAAP,Round 1,MOA Arena,t,3,0,0,0,0,catch-and-shoot,1,4.3,5.7,-4,0
25,860.649461388898,-878.694230552129,7.2345,Jun Manzo,13,PG,UP,UST,Season 80,UAAP,Round 1,MOA Arena,t,3,0,0,0,0,catch-and-shoot,1,3.6,6.4,-4,0
26,796.23883150836,-621.684993673548,4.60535,Marvin Lee,9,PG,UST,UP,Season 80,UAAP,Round 1,MOA Arena,f,2,1,0,0,0,pull-up,1,3.35,6.65,4,2
27,119.032117618142,-511.542347439692,7.25215,Juan Gomez de Liaño,1,SG,UP,UST,Season 80,UAAP,Round 1,MOA Arena,t,3,0,0,0,0,catch-and-shoot,1,3.05,6.95,-6,0
28,1134.16799801047,-335.224902694311,4.16449,Marvin Lee,9,PG,UST,UP,Season 80,UAAP,Round 1,MOA Arena,f,2,1,0,0,0,pull-up,1,2.86667,7.13333,6,2
29,57.0158718283715,-250.811689613232,7.03486,Jun Manzo,13,PG,UP,UST,Season 80,UAAP,Round 1,MOA Arena,t,3,0,0,0,0,catch-and-shoot,1,2.61667,7.38333,-8,0
30,400.276180019398,-851.320060093815,7.74347,Paul Desiderio,18,PG,UP,UST,Season 80,UAAP,Round 1,MOA Arena,t,3,0,0,0,0,catch-and-shoot,1,2.08333,7.91667,-8,0
31,1044.40537789831,-34.8303497249037,3.16517,Javi Gomez de Liaño,6,PF,UP,UST,Season 80,UAAP,Round 1,MOA Arena,t,2,1,1,0,0,lay-up,1,2,8,-8,2
33,809.271727035588,-749.157418493159,5.88665,Enrique Caunan Jr.,11,F,UST,UP,Season 80,UAAP,Round 1,MOA Arena,f,2,0,0,0,0,catch-and-shoot,1,1.4,8.6,5,0
34,726.322298557206,-137.236009695666,0.385512,Christopher Vito,15,PF,UP,UST,Season 80,UAAP,Round 1,MOA Arena,t,2,0,0,0,0,lay-up,1,1.18333,8.81667,-5,0
35,215.799959049263,-267.036754500868,5.49145,Jeepy Faundo,15,C,UST,UP,Season 80,UAAP,Round 1,MOA Arena,f,2,0,0,0,0,pull-up,1,0.985,9.015,5,0
36,834.940791089686,-274.718065300519,1.37373,Zachary Huang,13,PF,UST,UP,Season 80,UAAP,Round 1,MOA Arena,f,2,0,0,0,0,follow-up,1,0.938333,9.061667,5,0
37,521.15877038247,-317.225628014933,2.8012,Jarrell Lim,12,PG,UP,UST,Season 80,UAAP,Round 1,MOA Arena,t,2,0,0,0,0,lay-up,1,0.79,9.21,-5,0
38,764.095457971899,-209.688752078045,0.475664,Jerson Prado,20,C,UP,UST,Season 80,UAAP,Round 1,MOA Arena,t,2,1,0,0,0,follow-up,1,0.766667,9.233333,-5,2
39,511.287952956068,-73.5633729472918,2.59604,Jeepy Faundo,15,C,UST,UP,Season 80,UAAP,Round 1,MOA Arena,f,2,0,0,0,0,lay-up,1,0.556667,9.443333,3,0
40,1212.72177988304,-382.515515664419,5.07638,Juan Gomez de Liaño,1,SG,UP,UST,Season 80,UAAP,Round 1,MOA Arena,t,2,0,0,0,0,pull-up,1,0.44,9.56,-3,0
41,643.596529289061,-206.456391481516,1.19579,Christopher Vito,15,PF,UP,UST,Season 80,UAAP,Round 1,MOA Arena,t,2,1,1,0,0,lay-up,1,0.15,9.85,-3,2
42,633.747883279515,-566.704663341154,4.21521,Zachary Huang,13,PF,UST,UP,Season 80,UAAP,Round 1,MOA Arena,f,2,0,0,0,0,pull-up,1,0.0166667,9.9833333,1,0
43,114.058692035494,-291.729036162452,6.53839,Juan Gomez de Liaño,1,SG,UP,UST,Season 80,UAAP,Round 1,MOA Arena,t,2,1,1,1,0,catch-and-shoot,2,9.91667,10.08333,-1,2
44,280.526713162337,-338.718088967804,5.0614,Jerson Prado,20,C,UP,UST,Season 80,UAAP,Round 1,MOA Arena,t,2,1,1,1,0,catch-and-shoot,2,9.41667,10.58333,1,2
45,670.887598410596,-165.169513155565,0.841548,Jeepy Faundo,15,C,UST,UP,Season 80,UAAP,Round 1,MOA Arena,f,2,1,0,0,0,follow-up,2,9.18333,10.81667,-3,2
46,708.071493541757,-283.686313537167,1.29955,Christopher Vito,15,PF,UP,UST,Season 80,UAAP,Round 1,MOA Arena,t,2,1,1,0,0,lay-up,2,8.91667,11.08333,1,2
47,532.877311757252,-400.553718780197,3.25589,Zachary Huang,13,PF,UST,UP,Season 80,UAAP,Round 1,MOA Arena,f,2,1,0,0,0,pull-up,2,8.7,11.3,-3,2
48,1292.7871758825,-441.606769090071,6.05901,Zachary Huang,13,PF,UST,UP,Season 80,UAAP,Round 1,MOA Arena,f,2,1,0,0,0,pull-up,2,8.31667,11.68333,-1,2
49,870.67468994819,-507.971074525872,3.64323,Jarrell Lim,12,PG,UP,UST,Season 80,UAAP,Round 1,MOA Arena,t,2,1,0,0,0,pull-up,2,8.03333,11.96667,-1,2
50,679.270318190868,-155.120020581865,0.760884,Jeepy Faundo,15,C,UST,UP,Season 80,UAAP,Round 1,MOA Arena,f,2,0,0,1,0,dunk,2,7.83333,12.16667,-1,0
